Campaign,Negative keyword,Match type
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,工作,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,職缺,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,招聘,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,求職,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,教學,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,DIY,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,清潔劑,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,清潔用品,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,免費,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,二手,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,批發,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,機器,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,機器人,Phrase
GOOG_Search_Keelung-Taipei-NewTaipei_Cleaning_2026Q3,課程,Phrase

